time,cpu_usage,active_workers,queue_len
6710,100,5,165
6720,100,5,165
6730,100,5,165
6740,100,5,165
6750,100,5,165
6760,100,5,165
6770,100,5,165
6780,100,5,166
6790,100,5,166
6800,100,5,167
6810,100,5,167
6820,100,5,167
6830,100,5,167
6840,100,5,167
6850,100,5,167
6860,100,5,168
6870,100,5,168
6880,100,5,169
6890,100,5,169
6900,100,5,170
6910,100,5,170
6920,100,5,170
6930,100,5,170
6940,100,5,170
6950,100,5,170
6960,100,5,170
6970,100,5,170
6980,100,5,171
6990,100,5,171
7000,100,5,172
7010,100,5,172
7020,100,5,172
7030,100,5,172
7040,100,5,172
7050,100,5,172
7060,100,5,173
7070,100,5,173
7080,100,5,174
7090,100,5,174
7100,100,5,175
7110,100,5,175
7120,100,5,175
7130,100,5,175
7140,100,5,175
7150,100,5,175
7160,100,5,175
7170,100,5,175
7180,100,5,176
7190,100,5,176
7200,100,5,177
7210,100,5,177
7220,100,5,177
7230,100,5,177
7240,100,5,177
7250,100,5,177
7260,100,5,178
7270,100,5,178
7280,100,5,179
7290,100,5,179
7300,100,5,180
7310,100,5,180
7320,100,5,180
7330,100,5,180
7340,100,5,180
7350,100,5,180
7360,100,5,180
7370,100,5,180
7380,100,5,181
7390,100,5,181
7400,100,5,182
7410,100,5,182
7420,100,5,182
7430,100,5,182
7440,100,5,182
7450,100,5,182
7460,100,5,183
7470,100,5,183
7480,100,5,184
7490,100,5,184
7500,100,5,185
7510,100,5,185
7520,100,5,185
7530,100,5,185
7540,100,5,185
7550,100,5,185
7560,100,5,185
7570,100,5,185
7580,100,5,186
7590,100,5,186
7600,100,5,187
7610,100,5,187
7620,100,5,187
7630,100,5,187
7640,100,5,187
7650,100,5,187
7660,100,5,188
7670,100,5,188
7680,100,5,189
7690,100,5,189
7700,100,5,190
7710,100,5,190
7720,100,5,190
7730,100,5,190
7740,100,5,190
7750,100,5,190
7760,100,5,190
7770,100,5,190
7780,100,5,191
7790,100,5,191
7800,100,5,192
7810,100,5,192
7820,100,5,192
7830,100,5,192
7840,100,5,192
7850,100,5,192
7860,100,5,193
7870,100,5,193
7880,100,5,194
7890,100,5,194
7900,100,5,195
7910,100,5,195
7920,100,5,195
7930,100,5,195
7940,100,5,195
7950,100,5,195
7960,100,5,195
7970,100,5,195
7980,100,5,196
7990,100,5,196
8000,100,5,197
8010,100,5,197
8020,100,5,197
8030,100,5,197
8040,100,5,197
8050,100,5,197
8060,100,5,198
8070,100,5,198
8080,100,5,199
8090,100,5,199
8100,100,5,200
8110,100,5,200
8120,100,5,200
8130,100,5,200
8140,100,5,200
8150,100,5,200
8160,100,5,200
8170,100,5,200
8180,100,5,201
8190,100,5,201
8200,100,5,202
8210,100,5,202
8220,100,5,202
8230,100,5,202
8240,100,5,202
8250,100,5,202
8260,100,5,203
8270,100,5,203
8280,100,5,204
8290,100,5,204
8300,100,5,205
8310,100,5,205
8320,100,5,205
8330,100,5,205
8340,100,5,205
8350,100,5,205
8360,100,5,205
8370,100,5,205
8380,100,5,206
8390,100,5,206
8400,100,5,207
8410,100,5,207
8420,100,5,207
8430,100,5,207
8440,100,5,207
8450,100,5,207
8460,100,5,208
8470,100,5,208
8480,100,5,209
8490,100,5,209
8500,100,5,210
8510,100,5,210
8520,100,5,210
8530,100,5,210
8540,100,5,210
8550,100,5,210
8560,100,5,210
8570,100,5,210
8580,100,5,211
8590,100,5,211
8600,100,5,212
8610,100,5,212
8620,100,5,212
8630,100,5,212
8640,100,5,212
8650,100,5,212
8660,100,5,213
8670,100,5,213
8680,100,5,214
8690,100,5,214
8700,100,5,215
8710,100,5,215
8720,100,5,215
8730,100,5,215
8740,100,5,215
8750,100,5,215
8760,100,5,215
8770,100,5,215
8780,100,5,216
8790,100,5,216
8800,100,5,217
8810,100,5,217
8820,100,5,217
8830,100,5,217
8840,100,5,217
8850,100,5,217
8860,100,5,218
8870,100,5,218
8880,100,5,219
8890,100,5,219
8900,100,5,220
8910,100,5,220
8920,100,5,220
8930,100,5,220
8940,100,5,220
8950,100,5,220
8960,100,5,220
8970,100,5,220
8980,100,5,221
8990,100,5,221
9000,100,5,222
9010,100,5,222
9020,100,5,222
9030,100,5,222
9040,100,5,222
9050,100,5,222
9060,100,5,223
9070,100,5,223
9080,100,5,224
9090,100,5,224
9100,100,5,225
9110,100,5,225
9120,100,5,225
9130,100,5,225
9140,100,5,225
9150,100,5,225
9160,100,5,225
9170,100,5,225
9180,100,5,226
9190,100,5,226
9200,100,5,227
9210,100,5,227
9220,100,5,227
9230,100,5,227
9240,100,5,227
9250,100,5,227
9260,100,5,228
9270,100,5,228
9280,100,5,229
9290,100,5,229
9300,100,5,230
9310,100,5,230
9320,100,5,230
9330,100,5,230
9340,100,5,230
9350,100,5,230
9360,100,5,230
9370,100,5,230
9380,100,5,231
9390,100,5,231
9400,100,5,232
9410,100,5,232
9420,100,5,232
9430,100,5,232
9440,100,5,232
9450,100,5,232
9460,100,5,233
9470,100,5,233
9480,100,5,234
9490,100,5,234
9500,100,5,235
9510,100,5,235
9520,100,5,235
9530,100,5,235
9540,100,5,235
9550,100,5,235
9560,100,5,235
9570,100,5,235
9580,100,5,236
9590,100,5,236
9600,100,5,237
9610,100,5,237
9620,100,5,237
9630,100,5,237
9640,100,5,237
9650,100,5,237
9660,100,5,238
9670,100,5,238
9680,100,5,239
9690,100,5,239
9700,100,5,240
9710,100,5,240
9720,100,5,240
9730,100,5,240
9740,100,5,240
9750,100,5,240
9760,100,5,240
9770,100,5,240
9780,100,5,241
9790,100,5,241
9800,100,5,242
9810,100,5,242
9820,100,5,242
9830,100,5,242
9840,100,5,242
9850,100,5,242
9860,100,5,243
9870,100,5,243
9880,100,5,244
9890,100,5,244
9900,100,5,245
9910,100,5,245
9920,100,5,245
9930,100,5,245
9940,100,5,245
9950,100,5,245
9960,100,5,245
9970,100,5,245
9980,100,5,246
9990,100,5,246
10000,100,5,247
10010,100,5,247
10020,100,5,247
10030,100,5,247
10040,100,5,247
10050,100,5,247
10060,100,5,248
10070,100,5,248
10080,100,5,249
10090,100,5,249
10100,100,5,250
10110,100,5,250
10120,100,5,250
10130,100,5,250
10140,100,5,250
10150,100,5,250
10160,100,5,250
10170,100,5,250
10180,100,5,251
10190,100,5,251
10200,100,5,252
10210,100,5,252
10220,100,5,252
10230,100,5,252
10240,100,5,252
10250,100,5,252
10260,100,5,253
10270,100,5,253
10280,100,5,254
10290,100,5,254
10300,100,5,255
10310,100,5,255
10320,100,5,255
10330,100,5,255
10340,100,5,255
10350,100,5,255
10360,100,5,255
10370,100,5,255
10380,100,5,256
10390,100,5,256
10400,100,5,257
10410,100,5,257
10420,100,5,257
10430,100,5,257
10440,100,5,257
10450,100,5,257
10460,100,5,258
10470,100,5,258
10480,100,5,259
10490,100,5,259
10500,100,5,260
10510,100,5,260
10520,100,5,260
10530,100,5,260
10540,100,5,260
10550,100,5,260
10560,100,5,260
10570,100,5,260
10580,100,5,261
10590,100,5,261
10600,100,5,262
10610,100,5,262
10620,100,5,262
10630,100,5,262
10640,100,5,262
10650,100,5,262
10660,100,5,263
10670,100,5,263
10680,100,5,264
10690,100,5,264
10700,100,5,265
10710,100,5,265
10720,100,5,265
10730,100,5,265
10740,100,5,265
10750,100,5,265
10760,100,5,265
10770,100,5,265
10780,100,5,266
10790,100,5,266
10800,100,5,267
10810,100,5,267
10820,100,5,267
10830,100,5,267
10840,100,5,267
10850,100,5,267
10860,100,5,268
10870,100,5,268
10880,100,5,269
10890,100,5,269
10900,100,5,270
10910,100,5,270
10920,100,5,270
10930,100,5,270
10940,100,5,270
10950,100,5,270
10960,100,5,270
10970,100,5,270
10980,100,5,271
10990,100,5,271
11000,100,5,272
11010,100,5,272
11020,100,5,272
11030,100,5,272
11040,100,5,272
11050,100,5,272
11060,100,5,273
11070,100,5,273
11080,100,5,274
11090,100,5,274
11100,100,5,275
11110,100,5,275
11120,100,5,275
